RandomWeird{value=5066177246380389534, times=3, duration='0'}
RandomWeird{value=5013447129660960905, times=2, duration='466'}
RandomWeird{value=7148361914072158939, times=2, duration='0'}
RandomWeird{value=2543163518686131945, times=2, duration='466'}
RandomWeird{value=3914166601535880940, times=2, duration='467'}
RandomWeird{value=8098326972901172112, times=4, duration='466'}
RandomWeird{value=4149433645113458480, times=2, duration='0'}
RandomWeird{value=4779861758446809825, times=2, duration='0'}
RandomWeird{value=3718809876293492768, times=2, duration='0'}
RandomWeird{value=5647898668491099870, times=3, duration='0'}
RandomWeird{value=3029643028578914258, times=2, duration='0'}
RandomWeird{value=1680902887327365970, times=3, duration='466'}
RandomWeird{value=2713302512804030718, times=4, duration='466'}
RandomWeird{value=1864547090819985996, times=7, duration='467'}
RandomWeird{value=6606222814335762673, times=2, duration='467'}
RandomWeird{value=7460340172042944856, times=2, duration='0'}
RandomWeird{value=6688820034011179768, times=4, duration='466'}
RandomWeird{value=7078192371831222733, times=3, duration='467'}
RandomWeird{value=1610875859191535073, times=3, duration='0'}
RandomWeird{value=5854962698780753328, times=2, duration='0'}
RandomWeird{value=7653580175624067709, times=2, duration='0'}
RandomWeird{value=8724613915618021392, times=2, duration='0'}
RandomWeird{value=1454922693417862713, times=2, duration='466'}
RandomWeird{value=1482133151134627578, times=2, duration='0'}
RandomWeird{value=6303332280444340961, times=6, duration='466'}
RandomWeird{value=3737314626525133168, times=8, duration='933'}
RandomWeird{value=7242093992076099372, times=3, duration='467'}
RandomWeird{value=5456594846811262564, times=2, duration='0'}
RandomWeird{value=1826656636243091430, times=3, duration='466'}
RandomWeird{value=4110414313564398277, times=2, duration='0'}
RandomWeird{value=3705499131359899974, times=6, duration='467'}
RandomWeird{value=8373033167905603156, times=3, duration='466'}
RandomWeird{value=4516206142410995977, times=4, duration='467'}
RandomWeird{value=8173721094225698375, times=3, duration='467'}
RandomWeird{value=8797526947520868128, times=3, duration='467'}
RandomWeird{value=2305626672122900170, times=2, duration='466'}
RandomWeird{value=6712208261290382996, times=2, duration='467'}
RandomWeird{value=6798967985734327541, times=6, duration='467'}
RandomWeird{value=2588339028873928808, times=2, duration='0'}
RandomWeird{value=2473518383085465636, times=2, duration='0'}
RandomWeird{value=8080090594723715054, times=10, duration='933'}
RandomWeird{value=1349764325109908496, times=2, duration='0'}
RandomWeird{value=3390880432094496343, times=3, duration='467'}
RandomWeird{value=3328802690611915313, times=4, duration='466'}
RandomWeird{value=2387283237603248790, times=4, duration='466'}
RandomWeird{value=8151897508478302030, times=5, duration='467'}
RandomWeird{value=7103062876225006749, times=6, duration='466'}
RandomWeird{value=4319131456599502904, times=2, duration='467'}
RandomWeird{value=3871166585736063789, times=2, duration='466'}
RandomWeird{value=1722245877351356828, times=6, duration='467'}
RandomWeird{value=9150331168630785017, times=5, duration='466'}
RandomWeird{value=4402843525245060664, times=3, duration='466'}
RandomWeird{value=1857296058982544246, times=2, duration='467'}
RandomWeird{value=2115941470328821172, times=2, duration='0'}
RandomWeird{value=1176870024000031571, times=4, duration='466'}
RandomWeird{value=8697482322852744775, times=2, duration='0'}
RandomWeird{value=2031242344974636769, times=3, duration='0'}
RandomWeird{value=1950922290764118598, times=5, duration='467'}
RandomWeird{value=3157682618839577686, times=2, duration='0'}
RandomWeird{value=5537831438084527784, times=2, duration='467'}
RandomWeird{value=8248247440167797646, times=3, duration='466'}
RandomWeird{value=4936575876391851597, times=2, duration='0'}
RandomWeird{value=6257189977819962709, times=2, duration='467'}
RandomWeird{value=5175539201247622700, times=2, duration='0'}
RandomWeird{value=1482314040409676542, times=2, duration='0'}
RandomWeird{value=6862117422130010792, times=2, duration='0'}
RandomWeird{value=5686499019887200009, times=3, duration='466'}
RandomWeird{value=4045010330545888574, times=3, duration='467'}
RandomWeird{value=6400350866446030893, times=10, duration='933'}
RandomWeird{value=6116430971276614224, times=8, duration='933'}
RandomWeird{value=6741161321288005096, times=3, duration='466'}
RandomWeird{value=4283859360219107123, times=3, duration='467'}
RandomWeird{value=6161677546604366959, times=5, duration='467'}
RandomWeird{value=8994292598236864840, times=2, duration='0'}
RandomWeird{value=7937586884288759264, times=2, duration='466'}
RandomWeird{value=4819573523797360146, times=2, duration='467'}
RandomWeird{value=7679052327918605053, times=8, duration='933'}
RandomWeird{value=6901653860148185143, times=2, duration='0'}
RandomWeird{value=6783961401948107441, times=3, duration='0'}
RandomWeird{value=4142345886208470950, times=2, duration='466'}
RandomWeird{value=1052153516721273330, times=16, duration='1866'}
RandomWeird{value=7476129826119085436, times=7, duration='933'}
RandomWeird{value=5873496854959847849, times=2, duration='467'}
RandomWeird{value=7108318971694403139, times=3, duration='466'}
RandomWeird{value=8425119068526034889, times=2, duration='0'}
RandomWeird{value=8230770310253615601, times=2, duration='467'}
RandomWeird{value=5899319961777325094, times=4, duration='466'}
RandomWeird{value=1781907035341887789, times=5, duration='466'}
RandomWeird{value=4097887297235484614, times=4, duration='933'}
RandomWeird{value=6005013281545443083, times=4, duration='467'}
RandomWeird{value=2728233095909057987, times=3, duration='466'}
RandomWeird{value=5967585934769905735, times=2, duration='0'}
RandomWeird{value=3096691512440794427, times=2, duration='467'}
RandomWeird{value=7707717524122294269, times=5, duration='466'}
RandomWeird{value=8690307379151251885, times=2, duration='466'}
RandomWeird{value=1543963457301203488, times=4, duration='466'}
RandomWeird{value=2854010153479036826, times=4, duration='0'}
RandomWeird{value=2958159750405923962, times=2, duration='0'}
RandomWeird{value=7673941731612534067, times=2, duration='466'}
RandomWeird{value=6477942337919163014, times=4, duration='467'}
RandomWeird{value=4105544240112624912, times=3, duration='467'}
RandomWeird{value=5588265789109346062, times=2, duration='0'}
RandomWeird{value=2101314968889859751, times=5, duration='466'}
RandomWeird{value=3326074602232041335, times=8, duration='933'}
RandomWeird{value=2586906761037917537, times=2, duration='467'}
RandomWeird{value=8705703886141159136, times=2, duration='0'}
RandomWeird{value=2556281975591309701, times=3, duration='0'}
RandomWeird{value=1012121450823806170, times=2, duration='467'}
RandomWeird{value=1563921023738755452, times=6, duration='466'}
RandomWeird{value=4090585620007067019, times=6, duration='933'}
RandomWeird{value=6972977725579602861, times=8, duration='933'}
RandomWeird{value=5719330867978720367, times=4, duration='467'}
RandomWeird{value=7308153202344145212, times=2, duration='0'}
RandomWeird{value=5695101796728107896, times=3, duration='467'}
RandomWeird{value=5440335249705187621, times=3, duration='467'}
RandomWeird{value=5767071624075993429, times=9, duration='933'}
RandomWeird{value=1310951756211923425, times=3, duration='467'}
RandomWeird{value=5477103003482723987, times=3, duration='466'}
RandomWeird{value=8601382285213867790, times=2, duration='0'}
RandomWeird{value=4117913359283123691, times=2, duration='0'}
RandomWeird{value=1872415566938446697, times=4, duration='467'}
RandomWeird{value=1429456916521528517, times=7, duration='933'}
RandomWeird{value=2145226482109377709, times=3, duration='466'}
RandomWeird{value=8255499246413231970, times=3, duration='467'}
RandomWeird{value=4884546433705004298, times=3, duration='466'}
RandomWeird{value=2257414942429465784, times=2, duration='467'}
RandomWeird{value=3434461438032181458, times=2, duration='467'}
RandomWeird{value=4218622941721976527, times=2, duration='467'}
RandomWeird{value=7717023082482665589, times=2, duration='0'}
RandomWeird{value=7369384661060218363, times=2, duration='0'}
RandomWeird{value=7846992481480832168, times=6, duration='933'}
RandomWeird{value=7802255341715156734, times=3, duration='466'}
RandomWeird{value=5969965965318527251, times=4, duration='466'}
RandomWeird{value=7482806840980804545, times=5, duration='933'}
RandomWeird{value=4486582103542615175, times=2, duration='0'}
RandomWeird{value=2985173986178756366, times=2, duration='467'}
RandomWeird{value=3886870623806462940, times=5, duration='466'}
RandomWeird{value=4533646313295660453, times=3, duration='467'}
RandomWeird{value=2070730168628115199, times=2, duration='466'}
RandomWeird{value=7426996101024422044, times=4, duration='467'}
RandomWeird{value=6153499620731315240, times=7, duration='933'}
RandomWeird{value=6787631934766340673, times=3, duration='0'}
RandomWeird{value=6634123413553480252, times=6, duration='466'}
RandomWeird{value=3799556584080711702, times=2, duration='466'}
RandomWeird{value=8787619341722620378, times=4, duration='467'}
RandomWeird{value=5315915288338507556, times=4, duration='466'}
RandomWeird{value=6075891023488817536, times=5, duration='467'}
RandomWeird{value=7904435020948639647, times=2, duration='0'}
RandomWeird{value=3425397499658317145, times=2, duration='0'}
RandomWeird{value=7131355256833717325, times=5, duration='933'}
RandomWeird{value=7462674740462101454, times=3, duration='0'}
RandomWeird{value=4679564765963977398, times=3, duration='0'}
RandomWeird{value=1590043723110044140, times=6, duration='933'}
RandomWeird{value=1965979072479065009, times=2, duration='0'}
RandomWeird{value=5073845587384093975, times=2, duration='0'}
RandomWeird{value=1006070832159557726, times=2, duration='0'}
RandomWeird{value=4733194453487753186, times=6, duration='466'}
RandomWeird{value=1894651736922662996, times=4, duration='467'}
RandomWeird{value=3857309242501785298, times=5, duration='466'}
RandomWeird{value=5021143533881880399, times=4, duration='467'}
RandomWeird{value=1475764964882288388, times=3, duration='0'}
RandomWeird{value=7592589781691361768, times=2, duration='467'}
RandomWeird{value=1472874946764329026, times=4, duration='466'}
RandomWeird{value=8403097660684964435, times=3, duration='0'}
RandomWeird{value=7177392114730424352, times=5, duration='466'}
RandomWeird{value=4207337628326407742, times=2, duration='0'}
RandomWeird{value=3931609150894900847, times=2, duration='0'}
RandomWeird{value=7587918101872117081, times=8, duration='933'}
RandomWeird{value=6228766885031513745, times=2, duration='466'}
RandomWeird{value=7341987793166453957, times=3, duration='467'}
RandomWeird{value=5779236493236340826, times=5, duration='466'}
RandomWeird{value=4696013797572039810, times=2, duration='466'}
RandomWeird{value=8287414361272807999, times=2, duration='466'}
RandomWeird{value=4739095993727581207, times=3, duration='467'}
RandomWeird{value=7912963685628695194, times=2, duration='0'}
RandomWeird{value=4425495283421737579, times=2, duration='0'}
RandomWeird{value=7664770936509900325, times=2, duration='467'}
RandomWeird{value=2026466696819198052, times=2, duration='467'}
RandomWeird{value=7177314828319792123, times=2, duration='467'}
RandomWeird{value=1259964166072584600, times=2, duration='467'}
RandomWeird{value=7884867123288557401, times=2, duration='466'}
RandomWeird{value=9047644399398864231, times=5, duration='467'}
RandomWeird{value=7798342131234627147, times=4, duration='467'}
RandomWeird{value=7763776553643849047, times=5, duration='466'}
RandomWeird{value=4915748968453526953, times=4, duration='466'}
RandomWeird{value=1591651756882545690, times=2, duration='466'}
RandomWeird{value=4824849099665354694, times=6, duration='466'}
RandomWeird{value=8387663850249671833, times=3, duration='0'}
RandomWeird{value=5640861479874898097, times=3, duration='467'}
RandomWeird{value=8305652142820182271, times=2, duration='0'}
RandomWeird{value=5149251340000145301, times=4, duration='467'}
RandomWeird{value=3694296730024532791, times=2, duration='0'}
RandomWeird{value=2497709761363367251, times=3, duration='467'}
RandomWeird{value=8799576450410537938, times=2, duration='466'}
RandomWeird{value=5686920497127500623, times=5, duration='466'}
RandomWeird{value=3082825878043746149, times=8, duration='933'}
RandomWeird{value=6779475212765002717, times=5, duration='466'}
RandomWeird{value=4341462217180921852, times=4, duration='467'}
RandomWeird{value=5933957859274335422, times=6, duration='933'}
RandomWeird{value=4217203520077590705, times=4, duration='467'}
RandomWeird{value=3306629812082436918, times=8, duration='466'}
RandomWeird{value=8221884201435080801, times=3, duration='0'}
RandomWeird{value=3745988047015392744, times=2, duration='467'}
RandomWeird{value=8793249107287080145, times=2, duration='467'}
RandomWeird{value=7321487616254829512, times=2, duration='466'}
RandomWeird{value=9170952356304963245, times=3, duration='466'}
RandomWeird{value=7471614937212453078, times=3, duration='0'}
RandomWeird{value=6707722771852232495, times=3, duration='0'}
RandomWeird{value=4433031811275501374, times=4, duration='467'}
RandomWeird{value=9207901629426365153, times=3, duration='466'}
RandomWeird{value=1420014413455035972, times=2, duration='0'}
RandomWeird{value=3638383838584237430, times=2, duration='0'}
RandomWeird{value=1931315081145369004, times=5, duration='467'}
RandomWeird{value=2190149776462815947, times=5, duration='467'}
RandomWeird{value=1333357403158685767, times=6, duration='466'}
RandomWeird{value=2101704533179416182, times=6, duration='467'}
RandomWeird{value=2504424328886911556, times=4, duration='0'}
RandomWeird{value=6714158528497675318, times=2, duration='467'}
RandomWeird{value=3287563148013636120, times=2, duration='0'}
RandomWeird{value=5354537340785181892, times=2, duration='0'}
RandomWeird{value=9191979496539005540, times=2, duration='0'}
RandomWeird{value=7270334185589670218, times=3, duration='466'}
RandomWeird{value=7780465352498111711, times=5, duration='466'}
RandomWeird{value=8780132045539754404, times=7, duration='467'}
RandomWeird{value=6916574014855204642, times=2, duration='0'}
RandomWeird{value=7661489149948904344, times=2, duration='467'}
RandomWeird{value=6705729626714575028, times=8, duration='467'}
RandomWeird{value=1015934026925093926, times=4, duration='467'}
RandomWeird{value=1888032073463862719, times=2, duration='0'}
RandomWeird{value=7410392240607135982, times=2, duration='0'}
RandomWeird{value=7002750910511280981, times=6, duration='467'}
RandomWeird{value=8038507276339965136, times=2, duration='0'}
RandomWeird{value=1677629654472113595, times=4, duration='466'}
RandomWeird{value=1084047969271924235, times=4, duration='467'}
RandomWeird{value=2284883172640581605, times=5, duration='466'}
RandomWeird{value=1771586206277354866, times=3, duration='0'}
RandomWeird{value=6315868183842490841, times=2, duration='466'}
RandomWeird{value=6206828466419922254, times=4, duration='467'}
RandomWeird{value=4616942827442206104, times=5, duration='466'}
RandomWeird{value=6177390323565478355, times=2, duration='466'}
RandomWeird{value=2928812060554146172, times=3, duration='0'}
RandomWeird{value=4419051347494897359, times=3, duration='466'}
RandomWeird{value=6862267940249433440, times=2, duration='0'}
RandomWeird{value=6491190118986198017, times=3, duration='467'}
RandomWeird{value=7220034456090334151, times=2, duration='466'}
RandomWeird{value=1946555734317909899, times=2, duration='466'}
RandomWeird{value=2072575034951846469, times=4, duration='466'}
RandomWeird{value=4061030409929894963, times=2, duration='0'}
RandomWeird{value=1298960875139893710, times=3, duration='0'}
RandomWeird{value=2701932287324324898, times=2, duration='466'}
RandomWeird{value=6059473765318705459, times=3, duration='0'}
RandomWeird{value=1249160056923100736, times=2, duration='0'}
RandomWeird{value=1572652785907482578, times=2, duration='0'}
RandomWeird{value=7977097661646862756, times=2, duration='466'}
RandomWeird{value=4476484642456404252, times=8, duration='933'}
RandomWeird{value=6497768332087397751, times=3, duration='466'}
RandomWeird{value=5401850955979729126, times=2, duration='0'}
RandomWeird{value=6473302880532004425, times=2, duration='0'}
RandomWeird{value=4661487181076546477, times=2, duration='0'}
RandomWeird{value=1679277059035410307, times=3, duration='467'}
RandomWeird{value=6843251887460184757, times=5, duration='467'}
RandomWeird{value=6804536860635889022, times=3, duration='466'}
RandomWeird{value=7272052026469754597, times=2, duration='0'}
RandomWeird{value=4595239259755418050, times=2, duration='0'}
RandomWeird{value=3950442491696986379, times=3, duration='467'}
RandomWeird{value=6181352566900605401, times=3, duration='467'}
RandomWeird{value=6472982785938818820, times=3, duration='466'}
RandomWeird{value=6604198436835943346, times=5, duration='466'}
RandomWeird{value=2884898402467156949, times=4, duration='466'}
RandomWeird{value=3478136339519037627, times=3, duration='467'}
RandomWeird{value=9093308603502506505, times=2, duration='0'}
RandomWeird{value=7531616371539431332, times=3, duration='467'}
RandomWeird{value=1334929621851066651, times=4, duration='466'}
RandomWeird{value=5159889777674192647, times=8, duration='933'}
RandomWeird{value=1631842369092391694, times=3, duration='466'}
RandomWeird{value=2561919129455514487, times=5, duration='467'}
RandomWeird{value=1167461220883386588, times=2, duration='0'}
RandomWeird{value=1601446035649742166, times=4, duration='466'}
RandomWeird{value=1689989252417140506, times=5, duration='933'}
RandomWeird{value=4330006313661989108, times=4, duration='466'}
RandomWeird{value=7877535107898873246, times=2, duration='0'}
RandomWeird{value=1677507695791065124, times=4, duration='466'}
RandomWeird{value=6904201684473466282, times=2, duration='467'}
RandomWeird{value=6386803466462525300, times=2, duration='0'}
RandomWeird{value=8575662880173663032, times=2, duration='0'}
RandomWeird{value=5630850076247223769, times=4, duration='466'}
RandomWeird{value=2560784738045826698, times=2, duration='0'}
RandomWeird{value=7711473397807431591, times=2, duration='466'}
RandomWeird{value=7156396004908925134, times=5, duration='466'}
RandomWeird{value=2154432580945215245, times=5, duration='467'}
RandomWeird{value=3451432363391289060, times=2, duration='467'}
RandomWeird{value=6730537660021012041, times=2, duration='466'}
RandomWeird{value=4429930630891569764, times=2, duration='467'}
RandomWeird{value=2187402188174387672, times=2, duration='0'}
RandomWeird{value=4607481667295869144, times=3, duration='0'}
RandomWeird{value=3105849771732641592, times=2, duration='467'}
RandomWeird{value=8463360440810813460, times=11, duration='933'}
RandomWeird{value=8573503602758734726, times=3, duration='0'}
RandomWeird{value=2584431385113529956, times=4, duration='466'}
RandomWeird{value=8343953025994779136, times=2, duration='467'}
RandomWeird{value=8270896107859923286, times=2, duration='0'}
RandomWeird{value=6474931486158665305, times=8, duration='933'}
RandomWeird{value=5037986254981210768, times=2, duration='0'}
RandomWeird{value=5588355758713396609, times=2, duration='0'}
RandomWeird{value=9154162642452011247, times=4, duration='0'}
RandomWeird{value=1971990373254264476, times=3, duration='0'}
RandomWeird{value=2202619775753113543, times=2, duration='0'}
RandomWeird{value=8751577582319737010, times=5, duration='466'}
RandomWeird{value=4912749120055957944, times=6, duration='933'}
RandomWeird{value=2153865320358243311, times=3, duration='467'}
RandomWeird{value=1681548178540313794, times=3, duration='466'}
RandomWeird{value=8122428028092408005, times=4, duration='467'}
RandomWeird{value=6599491457092554948, times=2, duration='467'}
RandomWeird{value=2324348777304265988, times=3, duration='0'}
RandomWeird{value=2398092424792476223, times=6, duration='933'}
RandomWeird{value=4361995666905105905, times=3, duration='466'}
RandomWeird{value=2153700447876579180, times=5, duration='467'}
RandomWeird{value=7869729433246232275, times=3, duration='0'}
RandomWeird{value=3891106931732743698, times=3, duration='0'}
RandomWeird{value=8260589901818082528, times=4, duration='466'}
RandomWeird{value=7829104804767952157, times=2, duration='0'}
RandomWeird{value=2689741560855436471, times=3, duration='0'}
RandomWeird{value=3183785408607247727, times=2, duration='467'}
RandomWeird{value=2064221612671518170, times=2, duration='466'}
RandomWeird{value=4265799457267437940, times=3, duration='467'}
RandomWeird{value=8165664848829178552, times=7, duration='933'}
RandomWeird{value=2674990939156785266, times=3, duration='467'}
RandomWeird{value=6214366734233862307, times=2, duration='466'}
RandomWeird{value=7721778686480628441, times=3, duration='466'}
RandomWeird{value=2293846906554134644, times=2, duration='467'}
RandomWeird{value=5116843983073980504, times=3, duration='467'}
RandomWeird{value=4193659414122992327, times=2, duration='0'}
RandomWeird{value=6923743166693097778, times=3, duration='467'}
RandomWeird{value=4156994725661431489, times=2, duration='0'}
RandomWeird{value=4823725099624575798, times=2, duration='466'}
RandomWeird{value=3305541971603161052, times=7, duration='933'}
RandomWeird{value=3719099345730135400, times=2, duration='0'}
RandomWeird{value=8556246159233892673, times=2, duration='467'}
RandomWeird{value=2362919986745049398, times=3, duration='467'}
RandomWeird{value=1409744687950491816, times=4, duration='466'}
RandomWeird{value=4768255548023119534, times=2, duration='0'}
RandomWeird{value=2677648774562231760, times=3, duration='466'}
RandomWeird{value=8910865081470247414, times=3, duration='467'}
RandomWeird{value=4933887841031139592, times=2, duration='0'}
RandomWeird{value=5535609937641721731, times=3, duration='467'}
RandomWeird{value=2792929538291564850, times=3, duration='0'}
RandomWeird{value=8036292400943090270, times=3, duration='0'}
RandomWeird{value=6295711870136203594, times=5, duration='466'}
RandomWeird{value=7232967302832083876, times=8, duration='933'}
RandomWeird{value=5079960203324590109, times=2, duration='0'}
RandomWeird{value=4668795348004118174, times=3, duration='467'}
RandomWeird{value=9079769382470854036, times=3, duration='466'}
RandomWeird{value=7475298699514827311, times=2, duration='467'}
RandomWeird{value=8015281565725442961, times=2, duration='467'}
RandomWeird{value=4971649656297514892, times=2, duration='0'}
RandomWeird{value=1020852277689895390, times=2, duration='0'}
RandomWeird{value=3977820686876788057, times=5, duration='467'}
RandomWeird{value=3988994561583446022, times=2, duration='466'}
RandomWeird{value=3347562834150211452, times=2, duration='0'}
RandomWeird{value=4034839099685881494, times=2, duration='0'}
RandomWeird{value=8526581043935144991, times=4, duration='467'}
RandomWeird{value=4142918622785159045, times=2, duration='0'}
RandomWeird{value=3905357821485434116, times=2, duration='467'}
RandomWeird{value=8398899473745909979, times=9, duration='1399'}
RandomWeird{value=1906477630895138122, times=2, duration='0'}
RandomWeird{value=2276817772127371825, times=3, duration='467'}
RandomWeird{value=6998833900083918761, times=2, duration='0'}
RandomWeird{value=7595053285138156213, times=4, duration='467'}
RandomWeird{value=8836177785593716770, times=5, duration='466'}
RandomWeird{value=7489225126042974418, times=2, duration='467'}
RandomWeird{value=8406214948720340141, times=3, duration='0'}
RandomWeird{value=3865775682499680745, times=2, duration='466'}
RandomWeird{value=1867075436727249046, times=3, duration='466'}
RandomWeird{value=6869282165264853043, times=2, duration='0'}
RandomWeird{value=2783333119885755339, times=2, duration='467'}
RandomWeird{value=8241343524692475591, times=3, duration='0'}
RandomWeird{value=5407828067200664925, times=2, duration='467'}
RandomWeird{value=7415098961485966229, times=2, duration='467'}
RandomWeird{value=1291465724162795615, times=2, duration='0'}
RandomWeird{value=5910469912707220855, times=7, duration='466'}
RandomWeird{value=2242491287970302014, times=9, duration='933'}
RandomWeird{value=7727135418696980745, times=6, duration='467'}
RandomWeird{value=6750551659767371069, times=3, duration='466'}
RandomWeird{value=5105388062382871910, times=2, duration='0'}
RandomWeird{value=6396186752651834531, times=3, duration='0'}
RandomWeird{value=4710932580736481815, times=2, duration='467'}
RandomWeird{value=6297363938528412334, times=6, duration='466'}
RandomWeird{value=7841262872879585471, times=2, duration='467'}
RandomWeird{value=7967383087079406471, times=3, duration='0'}
RandomWeird{value=8306625103689330642, times=3, duration='466'}
RandomWeird{value=2195213070065139281, times=2, duration='467'}
RandomWeird{value=3384567665497330190, times=6, duration='933'}
RandomWeird{value=3684801559061556213, times=3, duration='466'}
RandomWeird{value=5943469845236411527, times=2, duration='467'}
RandomWeird{value=6555704570770885748, times=2, duration='0'}
RandomWeird{value=2847506704902921593, times=2, duration='466'}
RandomWeird{value=6221808694017842623, times=3, duration='467'}
RandomWeird{value=5036217151624794514, times=2, duration='0'}
RandomWeird{value=1481911348763165092, times=7, duration='933'}
RandomWeird{value=8481791867313800416, times=4, duration='466'}
RandomWeird{value=8384384992499587866, times=3, duration='467'}
RandomWeird{value=1353186612231242184, times=2, duration='467'}
RandomWeird{value=6040124693598982921, times=2, duration='0'}
RandomWeird{value=6252088438815521810, times=2, duration='0'}
RandomWeird{value=5941842401992191518, times=4, duration='0'}
RandomWeird{value=4727690587417314143, times=8, duration='933'}
RandomWeird{value=4645319033621546193, times=5, duration='466'}
RandomWeird{value=7572071379329355778, times=5, duration='467'}
RandomWeird{value=3897148110069692030, times=8, duration='466'}
RandomWeird{value=1902013299427692943, times=2, duration='467'}
RandomWeird{value=5573455082340427994, times=12, duration='933'}
RandomWeird{value=3532694634926875042, times=6, duration='933'}
RandomWeird{value=8752230741492486325, times=3, duration='467'}
RandomWeird{value=5501612899857264010, times=4, duration='466'}
RandomWeird{value=1868215170651109025, times=6, duration='467'}
RandomWeird{value=5009759678112870045, times=3, duration='0'}
RandomWeird{value=6488238368304336706, times=3, duration='466'}
RandomWeird{value=1288033155719626559, times=2, duration='0'}
RandomWeird{value=4484476023427108469, times=2, duration='466'}
RandomWeird{value=4300720294659339425, times=3, duration='0'}
RandomWeird{value=5832469138260407765, times=3, duration='467'}
RandomWeird{value=5057758029964579892, times=2, duration='467'}
RandomWeird{value=5746438204334872348, times=2, duration='467'}
RandomWeird{value=2265249325705107955, times=2, duration='0'}
RandomWeird{value=8573926290814333272, times=2, duration='466'}
RandomWeird{value=5305803891035236998, times=2, duration='467'}
RandomWeird{value=7837485719133689953, times=7, duration='933'}
RandomWeird{value=1288888867136581267, times=2, duration='467'}
RandomWeird{value=5497564841245245353, times=2, duration='466'}
RandomWeird{value=5491723775653457781, times=2, duration='466'}
RandomWeird{value=7282095299774199509, times=3, duration='0'}
RandomWeird{value=3019209479612337945, times=3, duration='467'}
RandomWeird{value=9027051766079449584, times=2, duration='466'}
RandomWeird{value=2994062466213988532, times=4, duration='467'}
RandomWeird{value=6847626845280909296, times=2, duration='0'}
RandomWeird{value=4713704452098520901, times=4, duration='467'}
RandomWeird{value=5060819997208296864, times=5, duration='467'}
RandomWeird{value=7497391183637582497, times=4, duration='467'}
RandomWeird{value=3853504124041663988, times=6, duration='467'}
RandomWeird{value=7125359433592190321, times=4, duration='466'}
RandomWeird{value=2400488625081446495, times=4, duration='466'}
RandomWeird{value=5427873922984044310, times=2, duration='466'}
RandomWeird{value=4399309307116011883, times=2, duration='0'}
RandomWeird{value=6677504374151708345, times=3, duration='466'}
RandomWeird{value=5244672623124059104, times=3, duration='467'}
